Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
TXN_9999113,juice,4.0,3.0,12.0,cash,takeaway,2023-05-27
TXN_8779771,coffee,4.0,2.0,8.0,cash,in-store,2023-07-25
TXN_3808639,juice,2.0,3.0,6.0,digital wallet,takeaway,2023-12-15
TXN_4358673,cookie,5.0,1.0,5.0,digital wallet,takeaway,2023-12-28
TXN_4368416,salad,2.0,5.0,10.0,credit card,takeaway,2023-02-24
TXN_6258471,coffee,5.0,2.0,10.0,digital wallet,in-store,2023-09-23
TXN_4685453,tea,4.0,1.5,6.0,cash,in-store,2023-09-14
TXN_9096052,smoothie,4.0,4.0,16.0,credit card,takeaway,2023-12-28
TXN_5916991,juice,2.0,3.0,6.0,digital wallet,takeaway,2023-02-06
TXN_3407169,sandwich,2.0,4.0,8.0,cash,in-store,2023-03-11
TXN_2181545,juice,4.0,3.0,12.0,credit card,takeaway,2023-07-14
TXN_1150033,juice,5.0,3.0,15.0,cash,in-store,2023-04-18
TXN_8700451,tea,5.0,1.5,7.5,credit card,takeaway,2023-12-12
TXN_6380550,coffee,5.0,2.0,10.0,cash,in-store,2023-01-05
TXN_4885518,salad,3.0,5.0,15.0,credit card,in-store,2023-06-10
TXN_7623634,cake,2.0,3.0,6.0,credit card,in-store,2023-07-11
TXN_9336980,salad,4.0,3.0,12.0,cash,in-store,2023-06-06
TXN_5072031,cake,2.0,3.0,6.0,cash,takeaway,2023-03-23
TXN_1928241,coffee,3.0,2.0,6.0,cash,in-store,2023-04-30
TXN_4283157,salad,5.0,5.0,25.0,digital wallet,in-store,2023-11-25
TXN_7965998,juice,1.0,3.0,3.0,credit card,in-store,2023-11-02
TXN_1648671,sandwich,3.0,4.0,12.0,cash,takeaway,2023-05-21
TXN_4062737,cake,3.0,3.0,9.0,cash,in-store,2023-07-02
TXN_9249507,cookie,4.0,1.0,4.0,credit card,in-store,2023-11-21
TXN_9836934,cookie,3.0,1.0,3.0,digital wallet,in-store,2023-03-13
TXN_3925836,cookie,3.0,1.0,3.0,digital wallet,in-store,2023-02-16
TXN_3978874,smoothie,5.0,4.0,20.0,credit card,in-store,2023-03-13
TXN_8007337,cake,2.0,3.0,6.0,digital wallet,takeaway,2023-11-01
TXN_5365809,cake,3.0,3.0,9.0,cash,in-store,2023-09-14
TXN_6629480,smoothie,5.0,4.0,20.0,credit card,in-store,2023-02-28
TXN_7412722,juice,4.0,3.0,12.0,cash,in-store,2023-04-07
TXN_6000201,cookie,3.0,1.0,3.0,cash,takeaway,2023-02-16
TXN_3800182,tea,2.0,3.0,6.0,cash,in-store,2023-10-26
TXN_2950680,coffee,2.0,2.0,4.0,credit card,takeaway,2023-12-10
TXN_4088917,coffee,3.0,2.0,6.0,cash,takeaway,2023-02-04
TXN_3779366,cookie,1.0,1.0,1.0,digital wallet,in-store,2023-04-15
TXN_3171373,smoothie,3.0,4.0,12.0,credit card,in-store,2023-05-10
TXN_8693704,salad,3.0,5.0,15.0,cash,in-store,2023-05-04
TXN_3857960,salad,4.0,5.0,20.0,cash,in-store,2023-04-26
TXN_9250710,salad,1.0,5.0,5.0,cash,in-store,2023-05-28
TXN_9879996,coffee,4.0,2.0,8.0,digital wallet,in-store,2023-03-01
TXN_4291940,cake,3.0,3.0,9.0,credit card,in-store,2023-11-13
TXN_5047447,salad,1.0,5.0,5.0,digital wallet,takeaway,2023-12-27
TXN_6623508,cookie,5.0,1.0,5.0,digital wallet,takeaway,2023-05-18
TXN_9350833,cake,1.0,3.0,3.0,cash,takeaway,2023-01-17
TXN_2230167,cake,4.0,3.0,12.0,digital wallet,takeaway,2023-09-22
TXN_5526852,sandwich,5.0,4.0,20.0,digital wallet,in-store,2023-09-28
TXN_3786188,tea,3.0,1.5,4.5,credit card,in-store,2023-10-20
TXN_9642066,sandwich,3.0,4.0,12.0,credit card,in-store,2023-08-31
TXN_6616971,juice,2.0,3.0,6.0,digital wallet,takeaway,2023-09-02
TXN_7803615,salad,3.0,5.0,15.0,cash,in-store,2023-12-13
TXN_1583597,salad,1.0,5.0,5.0,cash,in-store,2023-05-10
TXN_8472308,cookie,2.0,1.0,2.0,digital wallet,takeaway,2023-08-19
TXN_1967565,smoothie,5.0,4.0,20.0,credit card,takeaway,2023-03-31
TXN_2029497,sandwich,2.0,4.0,8.0,cash,takeaway,2023-01-06
TXN_7852990,sandwich,5.0,4.0,20.0,digital wallet,takeaway,2023-07-10
TXN_2059647,tea,1.0,1.5,1.5,digital wallet,in-store,2023-05-29
TXN_2485183,smoothie,5.0,4.0,20.0,cash,in-store,2023-07-07
TXN_9401522,sandwich,4.0,4.0,16.0,digital wallet,in-store,2023-11-16
TXN_8250651,sandwich,4.0,4.0,16.0,digital wallet,in-store,2023-03-13
TXN_8982764,cake,5.0,3.0,15.0,digital wallet,takeaway,2023-11-23
TXN_1153869,smoothie,5.0,4.0,20.0,credit card,takeaway,2023-11-03
TXN_3229409,juice,3.0,3.0,9.0,cash,takeaway,2023-04-15
TXN_7557340,tea,5.0,1.5,7.5,credit card,in-store,2023-12-11
TXN_1157817,smoothie,1.0,4.0,4.0,digital wallet,in-store,2023-04-25
TXN_2020318,tea,3.0,1.5,4.5,digital wallet,in-store,2023-10-12
TXN_5307411,cake,3.0,3.0,9.0,digital wallet,takeaway,2023-10-21
TXN_2031459,cake,3.0,3.0,9.0,cash,takeaway,2023-07-04
TXN_2256622,cookie,2.0,3.0,6.0,cash,in-store,2023-10-04
TXN_4912930,smoothie,3.0,4.0,12.0,credit card,in-store,2023-02-26
TXN_3723007,tea,3.0,1.5,4.5,digital wallet,in-store,2023-05-18
TXN_5754317,coffee,2.0,3.0,6.0,credit card,takeaway,2023-01-10
TXN_7559388,salad,4.0,5.0,20.0,digital wallet,takeaway,2023-02-26
TXN_8540499,cookie,3.0,1.0,3.0,cash,in-store,2023-01-22
TXN_6795640,cookie,4.0,1.0,4.0,digital wallet,takeaway,2023-01-28
TXN_6702428,coffee,5.0,2.0,10.0,cash,takeaway,2023-08-11
TXN_1259671,sandwich,3.0,4.0,12.0,digital wallet,in-store,2023-10-08
TXN_5523450,salad,5.0,5.0,25.0,credit card,takeaway,2023-07-02
TXN_7838964,sandwich,3.0,4.0,12.0,credit card,in-store,2023-06-15
TXN_7275407,smoothie,2.0,4.0,8.0,digital wallet,in-store,2023-10-20
TXN_2265316,cookie,3.0,1.0,3.0,credit card,in-store,2023-12-29
TXN_9472241,salad,3.0,5.0,15.0,cash,takeaway,2023-06-30
TXN_1846004,juice,3.0,3.0,9.0,cash,in-store,2023-05-21
TXN_7773968,sandwich,5.0,4.0,20.0,digital wallet,takeaway,2023-02-24
TXN_9081088,tea,2.0,1.5,3.0,cash,takeaway,2023-02-27
TXN_1130191,smoothie,2.0,4.0,8.0,cash,in-store,2023-04-06
TXN_1040764,coffee,3.0,2.0,6.0,cash,takeaway,2023-07-27
TXN_2100697,coffee,3.0,2.0,6.0,digital wallet,takeaway,2023-09-19
TXN_4134594,sandwich,3.0,4.0,12.0,digital wallet,in-store,2023-09-27
TXN_5079340,cookie,4.0,1.0,4.0,cash,in-store,2023-08-18
TXN_1380601,tea,4.0,1.5,6.0,digital wallet,in-store,2023-03-11
TXN_2052395,smoothie,3.0,4.0,12.0,credit card,in-store,2023-07-06
TXN_3638955,cookie,2.0,3.0,6.0,cash,takeaway,2023-09-02
TXN_8256593,salad,2.0,5.0,10.0,digital wallet,takeaway,2023-08-09
TXN_9271457,cake,3.0,3.0,9.0,digital wallet,in-store,2023-02-27
TXN_5392603,coffee,1.0,2.0,2.0,cash,in-store,2023-05-14
TXN_6319728,coffee,3.0,2.0,6.0,credit card,in-store,2023-07-18
TXN_9263299,cookie,2.0,1.0,2.0,credit card,takeaway,2023-10-08
TXN_1436343,cookie,1.0,1.0,1.0,credit card,in-store,2023-11-26
TXN_7480234,salad,1.0,5.0,5.0,cash,takeaway,2023-05-10
TXN_1454467,juice,3.0,3.0,9.0,cash,in-store,2023-03-15
TXN_8224079,cookie,5.0,1.0,5.0,cash,in-store,2023-10-16
TXN_1916339,cake,1.0,3.0,3.0,cash,in-store,2023-07-15
TXN_8611035,sandwich,5.0,4.0,20.0,digital wallet,in-store,2023-05-28
TXN_3595735,tea,4.0,1.5,6.0,digital wallet,takeaway,2023-03-26
TXN_6169633,salad,4.0,5.0,20.0,credit card,takeaway,2023-12-20
TXN_4518102,tea,5.0,1.5,7.5,credit card,in-store,2023-02-08
TXN_3666858,cake,4.0,3.0,12.0,credit card,in-store,2023-12-27
TXN_5499915,cookie,2.0,1.0,2.0,digital wallet,takeaway,2023-02-01
TXN_4660753,juice,3.0,3.0,9.0,credit card,takeaway,2023-10-04
TXN_8089522,sandwich,4.0,3.0,12.0,cash,takeaway,2023-02-12
TXN_1564754,salad,3.0,5.0,15.0,digital wallet,in-store,2023-03-14
TXN_1824506,cake,1.0,3.0,3.0,cash,in-store,2023-03-02
TXN_1002457,cookie,5.0,1.0,5.0,digital wallet,takeaway,2023-09-29
TXN_4732351,sandwich,1.0,4.0,4.0,digital wallet,in-store,2023-04-22
TXN_4980036,cake,2.0,3.0,6.0,cash,takeaway,2023-01-05
TXN_3022839,coffee,5.0,2.0,10.0,digital wallet,takeaway,2023-08-25
TXN_7701070,coffee,5.0,2.0,10.0,credit card,takeaway,2023-07-28
TXN_8048037,sandwich,2.0,4.0,8.0,digital wallet,takeaway,2023-03-31
TXN_1887522,sandwich,4.0,4.0,16.0,cash,in-store,2023-02-20
TXN_6769465,juice,5.0,3.0,15.0,digital wallet,in-store,2023-06-13
TXN_3871837,tea,3.0,1.5,4.5,digital wallet,takeaway,2023-12-15
TXN_4980282,cake,1.0,3.0,3.0,digital wallet,in-store,2023-10-22
TXN_1325631,cake,4.0,3.0,12.0,credit card,in-store,2023-02-11
TXN_8209125,cookie,3.0,1.0,3.0,credit card,takeaway,2023-01-30
TXN_3730415,cake,4.0,3.0,12.0,credit card,takeaway,2023-04-09
TXN_4134253,tea,4.0,1.5,6.0,cash,in-store,2023-10-07
TXN_7558641,coffee,1.0,2.0,2.0,digital wallet,in-store,2023-12-22
TXN_3234877,coffee,4.0,2.0,8.0,cash,takeaway,2023-07-29
TXN_6368719,cake,4.0,3.0,12.0,credit card,takeaway,2023-01-03
TXN_8852585,sandwich,4.0,4.0,16.0,credit card,takeaway,2023-01-05
TXN_9201010,salad,1.0,5.0,5.0,credit card,takeaway,2023-03-15
TXN_3607652,salad,4.0,5.0,20.0,digital wallet,in-store,2023-06-05
TXN_8502094,juice,5.0,3.0,15.0,credit card,in-store,2023-03-21
TXN_9068244,sandwich,5.0,4.0,20.0,digital wallet,takeaway,2023-10-19
TXN_7633490,cookie,1.0,1.0,1.0,cash,takeaway,2023-10-27
TXN_9292230,tea,4.0,1.5,6.0,credit card,in-store,2023-07-14
TXN_8006668,tea,4.0,1.5,6.0,credit card,in-store,2023-12-22
TXN_3560062,cookie,1.0,1.0,1.0,cash,in-store,2023-03-20
TXN_6360132,sandwich,4.0,4.0,16.0,cash,takeaway,2023-09-16
TXN_7864939,sandwich,3.0,4.0,12.0,digital wallet,in-store,2023-08-19
TXN_3740963,salad,2.0,5.0,10.0,digital wallet,takeaway,2023-01-22
TXN_6063966,juice,2.0,3.0,6.0,digital wallet,takeaway,2023-10-24
TXN_3779640,tea,1.0,1.5,1.5,digital wallet,in-store,2023-05-16
TXN_8136881,salad,3.0,5.0,15.0,cash,in-store,2023-08-28
TXN_3981449,smoothie,2.0,4.0,8.0,cash,in-store,2023-06-21
TXN_5427506,cake,3.0,3.0,9.0,cash,takeaway,2023-09-15
TXN_4033802,tea,3.0,1.5,4.5,cash,takeaway,2023-03-02
TXN_4696439,cookie,1.0,1.0,1.0,cash,in-store,2023-05-27
TXN_8826983,smoothie,5.0,4.0,20.0,cash,in-store,2023-01-14
TXN_2947822,cake,4.0,3.0,12.0,digital wallet,in-store,2023-10-27
TXN_2493446,sandwich,1.0,4.0,4.0,cash,takeaway,2023-05-19
TXN_4538354,juice,3.0,3.0,9.0,cash,takeaway,2023-04-21
TXN_7533411,cookie,3.0,1.0,3.0,digital wallet,in-store,2023-11-09
TXN_2690314,tea,5.0,1.5,7.5,cash,in-store,2023-08-10
TXN_2968827,salad,5.0,5.0,25.0,digital wallet,takeaway,2023-09-14
TXN_1387401,cookie,4.0,1.0,4.0,cash,in-store,2023-10-19
TXN_3917193,juice,5.0,3.0,15.0,credit card,takeaway,2023-11-17
TXN_2062854,sandwich,4.0,4.0,16.0,digital wallet,takeaway,2023-12-01
TXN_4075863,smoothie,3.0,4.0,12.0,cash,takeaway,2023-05-21
TXN_5624860,tea,3.0,1.5,4.5,credit card,takeaway,2023-08-22
TXN_3381656,cake,5.0,3.0,15.0,cash,takeaway,2023-10-26
TXN_1183995,salad,5.0,5.0,25.0,digital wallet,takeaway,2023-03-28
TXN_3789752,juice,3.0,3.0,9.0,digital wallet,takeaway,2023-12-16
TXN_7578769,sandwich,5.0,4.0,20.0,digital wallet,takeaway,2023-01-30
TXN_3515664,coffee,2.0,2.0,4.0,cash,takeaway,2023-09-25
TXN_6422433,sandwich,5.0,4.0,20.0,digital wallet,takeaway,2023-05-09
TXN_4669664,cookie,1.0,1.0,1.0,digital wallet,in-store,2023-12-21
TXN_2213556,coffee,1.0,2.0,2.0,cash,in-store,2023-05-30
TXN_3826038,salad,1.0,5.0,5.0,cash,takeaway,2023-10-20
TXN_7380277,sandwich,4.0,4.0,16.0,digital wallet,takeaway,2023-04-24
TXN_7609853,sandwich,3.0,4.0,12.0,digital wallet,in-store,2023-04-22
TXN_9266394,cookie,2.0,1.0,2.0,credit card,in-store,2023-07-12
TXN_6152588,coffee,3.0,2.0,6.0,cash,takeaway,2023-11-21
TXN_5739806,smoothie,3.0,4.0,12.0,credit card,in-store,2023-09-18
TXN_9228978,coffee,5.0,2.0,10.0,digital wallet,in-store,2023-02-09
TXN_1124753,salad,4.0,5.0,20.0,digital wallet,in-store,2023-10-19
TXN_7611120,juice,2.0,3.0,6.0,cash,takeaway,2023-03-30
TXN_6316959,tea,2.0,1.5,3.0,cash,in-store,2023-11-10
TXN_2265984,cookie,5.0,1.0,5.0,credit card,takeaway,2023-10-18
TXN_1123138,salad,1.0,5.0,5.0,cash,in-store,2023-02-10
TXN_9212503,salad,2.0,5.0,10.0,digital wallet,takeaway,2023-10-08
TXN_1259824,cookie,3.0,1.0,3.0,digital wallet,takeaway,2023-04-29
TXN_2806243,salad,4.0,5.0,20.0,digital wallet,takeaway,2023-01-14
TXN_3286932,cookie,1.0,1.0,1.0,digital wallet,takeaway,2023-07-11
TXN_3481470,salad,4.0,5.0,20.0,credit card,in-store,2023-12-24
TXN_3469469,cookie,1.0,1.0,1.0,digital wallet,in-store,2023-10-25
TXN_9289174,cake,3.0,3.0,9.0,digital wallet,in-store,2023-12-30
TXN_4998786,cake,5.0,3.0,15.0,credit card,takeaway,2023-10-25
TXN_2126408,cookie,3.0,1.0,3.0,cash,takeaway,2023-10-19
TXN_8958593,juice,5.0,3.0,15.0,digital wallet,in-store,2023-07-08
TXN_2383598,sandwich,2.0,4.0,8.0,digital wallet,in-store,2023-09-19
TXN_2211685,smoothie,1.0,4.0,4.0,credit card,in-store,2023-06-06
TXN_4266787,juice,4.0,3.0,12.0,credit card,takeaway,2023-01-12
TXN_5933480,sandwich,3.0,4.0,12.0,digital wallet,in-store,2023-09-04
TXN_5447508,sandwich,3.0,4.0,12.0,digital wallet,takeaway,2023-06-28
TXN_5686113,sandwich,5.0,4.0,20.0,digital wallet,in-store,2023-09-09
TXN_3397609,smoothie,2.0,4.0,8.0,digital wallet,in-store,2023-07-22
TXN_9347203,sandwich,5.0,4.0,20.0,cash,in-store,2023-04-15
TXN_3383926,cake,3.0,3.0,9.0,cash,takeaway,2023-07-08
TXN_6905718,salad,5.0,5.0,25.0,credit card,in-store,2023-02-20
TXN_7993951,tea,2.0,1.5,3.0,digital wallet,takeaway,2023-12-14
TXN_9097641,cake,4.0,3.0,12.0,cash,takeaway,2023-12-16
TXN_8536115,cake,1.0,3.0,3.0,credit card,takeaway,2023-07-11
TXN_2915281,cookie,1.0,1.0,1.0,digital wallet,in-store,2023-07-01
TXN_3468006,smoothie,3.0,4.0,12.0,credit card,takeaway,2023-07-28
TXN_7604541,juice,4.0,3.0,12.0,credit card,in-store,2023-04-16
TXN_7806146,cake,3.0,3.0,9.0,digital wallet,in-store,2023-01-30
TXN_9238689,cake,1.0,3.0,3.0,digital wallet,in-store,2023-03-09
TXN_2601689,salad,4.0,5.0,20.0,digital wallet,takeaway,2023-01-14
TXN_6428182,cake,5.0,3.0,15.0,cash,in-store,2023-11-10
TXN_6830557,coffee,3.0,2.0,6.0,digital wallet,takeaway,2023-11-08
TXN_6371264,smoothie,5.0,4.0,20.0,cash,takeaway,2023-02-27
TXN_9236713,cookie,5.0,1.0,5.0,cash,in-store,2023-09-13
TXN_4690833,cake,1.0,3.0,3.0,cash,takeaway,2023-05-23
TXN_7946489,juice,1.0,3.0,3.0,cash,takeaway,2023-09-11
TXN_8661288,salad,2.0,5.0,10.0,digital wallet,takeaway,2023-01-27
TXN_6111710,salad,3.0,5.0,15.0,credit card,in-store,2023-06-18
TXN_5476465,cake,3.0,3.0,9.0,cash,in-store,2023-06-23
TXN_1773873,salad,5.0,5.0,25.0,credit card,takeaway,2023-06-10
TXN_4570711,sandwich,4.0,4.0,16.0,credit card,in-store,2023-12-11
TXN_5242469,coffee,4.0,2.0,8.0,credit card,takeaway,2023-04-01
TXN_1655100,cake,4.0,3.0,12.0,credit card,takeaway,2023-12-20
TXN_1526864,smoothie,3.0,4.0,12.0,digital wallet,in-store,2023-01-27
TXN_9866728,juice,1.0,3.0,3.0,cash,in-store,2023-10-26
TXN_1706201,coffee,3.0,2.0,6.0,credit card,in-store,2023-08-23
TXN_2498488,smoothie,2.0,4.0,8.0,digital wallet,takeaway,2023-12-06
TXN_4431179,sandwich,3.0,4.0,12.0,digital wallet,takeaway,2023-08-13
TXN_2108894,sandwich,4.0,4.0,16.0,credit card,in-store,2023-10-30
TXN_6347472,tea,1.0,1.5,1.5,digital wallet,in-store,2023-03-22
TXN_8345723,sandwich,1.0,4.0,4.0,digital wallet,takeaway,2023-08-27
TXN_9989415,smoothie,5.0,3.0,15.0,credit card,takeaway,2023-05-26
TXN_2178964,tea,4.0,1.5,6.0,cash,takeaway,2023-12-25
TXN_6581437,coffee,5.0,2.0,10.0,digital wallet,takeaway,2023-10-23
TXN_6128621,salad,3.0,5.0,15.0,digital wallet,in-store,2023-11-10
TXN_4512118,coffee,2.0,2.0,4.0,digital wallet,takeaway,2023-04-20
TXN_5763254,coffee,3.0,3.0,9.0,digital wallet,takeaway,2023-09-15
TXN_4961655,juice,5.0,3.0,15.0,cash,takeaway,2023-05-06
TXN_5595352,juice,1.0,3.0,3.0,cash,in-store,2023-02-20
TXN_1090854,cookie,3.0,1.0,3.0,credit card,in-store,2023-01-07
TXN_1869814,tea,1.0,1.5,1.5,digital wallet,takeaway,2023-05-24
TXN_6910915,tea,4.0,1.5,6.0,digital wallet,takeaway,2023-05-06
TXN_5229169,juice,2.0,3.0,6.0,credit card,takeaway,2023-09-08
TXN_5576265,smoothie,4.0,4.0,16.0,credit card,takeaway,2023-04-08
TXN_1046394,smoothie,1.0,4.0,4.0,cash,in-store,2023-04-29
TXN_2269396,coffee,3.0,2.0,6.0,digital wallet,in-store,2023-10-26
TXN_9263967,cookie,3.0,1.0,3.0,credit card,in-store,2023-09-14
TXN_2914088,salad,5.0,5.0,25.0,cash,in-store,2023-03-22
TXN_6571898,juice,3.0,3.0,9.0,digital wallet,takeaway,2023-02-02
TXN_2108486,juice,4.0,3.0,12.0,digital wallet,takeaway,2023-12-28
TXN_5315441,smoothie,5.0,4.0,20.0,digital wallet,in-store,2023-10-31
TXN_9196322,cookie,4.0,1.0,4.0,digital wallet,in-store,2023-08-12
TXN_3394710,sandwich,3.0,4.0,12.0,digital wallet,in-store,2023-10-22
TXN_2393500,juice,1.0,3.0,3.0,credit card,in-store,2023-12-15
TXN_9738758,coffee,1.0,2.0,2.0,cash,in-store,2023-12-31
TXN_7838465,sandwich,3.0,4.0,12.0,credit card,takeaway,2023-06-15
TXN_2447261,cookie,3.0,1.0,3.0,credit card,takeaway,2023-10-15
TXN_2611990,cookie,3.0,1.0,3.0,digital wallet,takeaway,2023-10-25
TXN_1460963,coffee,3.0,2.0,6.0,cash,in-store,2023-02-10
TXN_6691767,salad,2.0,5.0,10.0,cash,takeaway,2023-02-05
TXN_6932070,tea,4.0,1.5,6.0,credit card,in-store,2023-06-10
TXN_4640977,cookie,3.0,1.0,3.0,credit card,in-store,2023-02-11
TXN_7896721,cake,3.0,3.0,9.0,credit card,takeaway,2023-04-22
TXN_7906197,sandwich,5.0,4.0,20.0,credit card,in-store,2023-01-02
TXN_9018535,cookie,2.0,3.0,6.0,digital wallet,takeaway,2023-05-05
TXN_8066743,tea,3.0,1.5,4.5,cash,takeaway,2023-11-13
TXN_6376175,juice,4.0,3.0,12.0,digital wallet,takeaway,2023-02-24
TXN_7585348,cake,3.0,3.0,9.0,credit card,takeaway,2023-03-16
TXN_4005014,sandwich,1.0,4.0,4.0,digital wallet,takeaway,2023-07-10
TXN_4478185,cake,2.0,3.0,6.0,cash,in-store,2023-08-25
TXN_7815651,salad,1.0,3.0,3.0,cash,in-store,2023-01-16
TXN_3461209,juice,4.0,3.0,12.0,credit card,in-store,2023-04-26
TXN_1026827,cookie,4.0,1.0,4.0,digital wallet,in-store,2023-01-02
TXN_4479052,salad,3.0,5.0,15.0,digital wallet,in-store,2023-12-05
TXN_5369555,juice,4.0,3.0,12.0,cash,takeaway,2023-02-24
TXN_8187656,tea,4.0,1.5,6.0,credit card,takeaway,2023-05-01
TXN_6463415,coffee,3.0,2.0,6.0,digital wallet,in-store,2023-04-12
TXN_4634772,juice,3.0,3.0,9.0,credit card,in-store,2023-01-12
TXN_8034156,sandwich,1.0,4.0,4.0,cash,in-store,2023-07-22
TXN_2163229,cookie,4.0,1.0,4.0,cash,takeaway,2023-12-21
TXN_1343750,cookie,2.0,1.0,2.0,digital wallet,takeaway,2023-02-15
TXN_8022689,tea,1.0,1.5,1.5,cash,takeaway,2023-06-15
TXN_9392028,salad,5.0,3.0,15.0,credit card,in-store,2023-01-13
TXN_2416816,smoothie,5.0,4.0,20.0,digital wallet,in-store,2023-10-19
TXN_1778707,salad,5.0,5.0,25.0,credit card,takeaway,2023-03-26
TXN_3110343,tea,3.0,1.5,4.5,digital wallet,takeaway,2023-06-24
TXN_2820693,salad,3.0,3.0,9.0,cash,takeaway,2023-05-05
TXN_3746260,smoothie,5.0,4.0,20.0,digital wallet,takeaway,2023-08-26
TXN_3725837,coffee,5.0,2.0,10.0,cash,in-store,2023-10-22
TXN_4594922,salad,2.0,5.0,10.0,credit card,takeaway,2023-06-19
TXN_5163686,salad,5.0,5.0,25.0,credit card,in-store,2023-05-29
TXN_2826603,salad,2.0,5.0,10.0,digital wallet,takeaway,2023-06-22
TXN_3760598,cake,3.0,3.0,9.0,digital wallet,in-store,2023-10-24
TXN_7679707,tea,1.0,1.5,1.5,credit card,in-store,2023-07-22
TXN_5038513,cookie,2.0,3.0,6.0,digital wallet,takeaway,2023-10-24
TXN_5007619,cake,5.0,3.0,15.0,credit card,in-store,2023-07-05
TXN_9625287,juice,2.0,3.0,6.0,cash,in-store,2023-07-08
TXN_7337979,coffee,1.0,2.0,2.0,digital wallet,in-store,2023-05-27
TXN_5630457,smoothie,1.0,4.0,4.0,credit card,takeaway,2023-03-01
TXN_4487966,juice,3.0,3.0,9.0,cash,in-store,2023-08-10
TXN_3663712,tea,4.0,1.5,6.0,digital wallet,takeaway,2023-09-22
TXN_9140598,juice,1.0,3.0,3.0,digital wallet,takeaway,2023-07-10
TXN_3696194,salad,2.0,5.0,10.0,credit card,in-store,2023-11-27
TXN_2964638,salad,2.0,5.0,10.0,digital wallet,in-store,2023-09-28
TXN_8336656,salad,5.0,5.0,25.0,cash,takeaway,2023-12-02
TXN_2024121,juice,5.0,3.0,15.0,digital wallet,in-store,2023-11-06
TXN_6287890,tea,5.0,1.5,7.5,credit card,takeaway,2023-02-07
TXN_5447694,smoothie,1.0,4.0,4.0,digital wallet,in-store,2023-11-18
TXN_5350401,sandwich,2.0,4.0,8.0,digital wallet,in-store,2023-10-28
TXN_1866028,tea,5.0,1.5,7.5,credit card,takeaway,2023-06-12
TXN_9152264,cake,1.0,3.0,3.0,digital wallet,takeaway,2023-03-15
TXN_3794585,sandwich,1.0,4.0,4.0,credit card,in-store,2023-02-10
TXN_9890874,sandwich,5.0,4.0,20.0,cash,in-store,2023-09-02
TXN_6024625,coffee,5.0,2.0,10.0,digital wallet,takeaway,2023-09-13
TXN_7470910,salad,2.0,5.0,10.0,cash,in-store,2023-11-22
TXN_1116119,smoothie,4.0,4.0,16.0,digital wallet,in-store,2023-08-07
TXN_3471223,coffee,1.0,2.0,2.0,digital wallet,in-store,2023-10-08
TXN_8692653,juice,3.0,3.0,9.0,cash,takeaway,2023-11-01
